step_id	documented_command	state	check_command	scope_path	rationale
rustdoc	oya doc rustdoc	active	buck2 run //marketplace/facade/dev-cli:oya -- doc rustdoc	crates	active bootstrap rustdoc parity
openapi	oya doc openapi	active	buck2 run //marketplace/facade/dev-cli:oya -- doc openapi	contracts	active contract source/runtime/schema parity
mdbook	oya doc mdbook	active	buck2 run //marketplace/facade/dev-cli:oya -- doc mdbook	docs/site	active committed site source validation
adr-index	oya doc adr-index	active	buck2 run //marketplace/facade/dev-cli:oya -- doc adr-index	docs/decisions	active ADR index mirror validation
catalog	oya doc catalog	active	buck2 run //marketplace/facade/dev-cli:oya -- catalog validate	registry/catalog	active catalog registry validation
lint	oya doc lint	active	buck2 run //marketplace/facade/dev-cli:oya -- gate validate doc-catalog	docs	active doc catalog source coverage
